year	full_name	fore_name	last_name	conference	source	affiliations	afflcountries
2019	Bonnie Berger	Bonnie	Berger	ISMB		MIT	United States
2020	Xiaole Shirley Liu	Shirley	Liu	ISMB	https://www.iscb.org/ismb2020-program/keynotes	Harvard T.H. Chan School of Public Health	United States
2020	Elaine Mardis	Elaine	Mardis	ISMB	https://www.iscb.org/ismb2020-program/keynotes	The Ohio State University College of Medicine	United States
2020	Laxmi Parida	Laxmi	Parida	ISMB	https://www.iscb.org/ismb2020-program/keynotes	IBM T. J. Watson Research Center	United States
2020	Jian Peng	Jian	Peng	ISMB	https://www.iscb.org/ismb2020-program/keynotes	University of Illinois at Urbana-Champaign	United States
2020	Steven L. Salzberg	Steven	Salzberg	ISMB	https://www.iscb.org/ismb2020-program/keynotes	Johns Hopkins University	United States
1996	Minoru Kanehisa	Minoru	Kanehisa	PSB	https://psb.stanford.edu/previous/psb96/sessions.html#keynote	Kyoto University	Japan
1996	David Weininger	David	Weininger	PSB	https://psb.stanford.edu/previous/psb96/sessions.html#keynote	DAYLIGHT Chemical Information Systems	United States
1997	Irwin Kuntz	Irwin	Kuntz	PSB	http://psb.stanford.edu/psb-online/proceedings/psb97/	University of California, San Francisco	United States
1998	Gregory Petsko	Gregory	Petsko	PSB	https://psb.stanford.edu/previous/psb98/	Brandeis University	United States
1999	Steven Brenner	Steven	Brenner	PSB		University of Florida	United States
2000	Wah Chiu	Wah	Chiu	PSB		Baylor College of Medicine	United States
2001	David Haussler	David	Haussler	PSB		University of California, Santa Cruz	United States
2002	David Botstein	David	Botstein	PSB		Stanford University	United States
2002	Rebecca Eisenberg	Rebecca	Eisenberg	PSB		University of Michigan Law School	United States
2003	Marvin Cassman	Marvin	Cassman	PSB		University of California	United States
2003	Latanya Sweeney	Latanya	Sweeney	PSB		Carnegie Mellon University	United States
2004	Henry Greely	Henry	Greely	PSB		Stanford University	United States
2004	Deborah Nickerson	Deborah	Nickerson	PSB		University of Washington	United States
2005	David Eisenberg	David	Eisenberg	PSB		University of California, Los Angeles	United States
2005	Arti Rai	Arti	Rai	PSB		Duke University Law School	United States
2006	Michael Ashburner	Michael	Ashburner	PSB		University of Cambridge & EMBL - EBI	United Kingdom
2006	Eric Meslin	Eric	Meslin	PSB		Indiana University School of Medicine	United States
2007	Elizabeth Blackburn	Elizabeth	Blackburn	PSB		University of California, San Francisco	United States
2007	Marc Rotenberg	Marc	Rotenberg	PSB		Electronic Privacy Information Center	United States
2008	John Dupre	John	Dupre	PSB		University of Exeter	United Kingdom
2008	Andrew McCulloch	Andrew	McCulloch	PSB		University of California, San Diego	United States
2009	Greg Hampikian	Greg	Hampikian	PSB		Boise State University	United States
2009	Drew Endy	Drew	Endy	PSB		Stanford University	United States
2010	Stanley Nelson	Stanley	Nelson	PSB		UCLA	United States
2010	Isaac Kohane	Isaac	Kohane	PSB		Harvard Medical School	United States
2011	Vijay Pande	Vijay	Pande	PSB		Stanford University	United States
2011	Ellen Wright Clayton	Ellen	Clayton	PSB		Vanderbilt University	United States
2012	Elaine Mardis	Elaine	Mardis	PSB		Washington University School of Medicine	United States
2012	James Heywood	James	Heywood	PSB		PatientsLikeMe	United States
2013	David Ewing Duncan	David	Duncan	PSB		Author and Journalist	United States
2013	Dan Roden	Dan	Roden	PSB		Vanderbilt University	United States
2014	Atul Butte	Atul	Butte	PSB		Stanford University	United States
2014	Douglas Fridsma	Douglas	Fridsma	PSB		Office of the National Coordinator for HIT	United States
2015	David Haussler	David	Haussler	PSB		University of California, Santa Cruz and California Institute for Quantitative Biosciences	United States
2015	Lucila Ohno-Machado	Lucila	Ohno-Machado	PSB		University of California, San Diego	United States
2016	Winter Mason	Winter	Mason	PSB		Facebook	United States
2016	Nancy Cox	Nancy	Cox	PSB		Vanderbilt University	United States
2017	David Magnus	David	Magnus	PSB		Stanford University	United States
2017	Neil Risch	Neil	Risch	PSB		University of California, San Francisco and Kaiser Permanente Division of Research	United States
2018	Carlos Bustamante	Carlos	Bustamante	PSB		Stanford University	United States
2018	Jennifer Wagner	Jennifer	Wagner	PSB		Geisinger Health System	United States
2019	Russ Altman	Russ	Altman	PSB		Stanford University	United States
2019	Lawrence Hunter	Lawrence	Hunter	PSB		University of Colorado	United States
2020	Carole Goble	Carole	Goble	PSB		University of Manchester	United Kingdom
2020	Ifeoma Ajunwa	Ifeoma	Ajunwa	PSB		Cornell University	United States
1997	David Botstein	David	Botstein	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Sam Karlin	Sam	Karlin	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Martin Karplus	Martin	Karplus	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Eric Lander	Eric	Lander	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Robert Lipshutz	Robert	Lipshutz	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Jonathan King	Jonathan	King	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Richard Roberts	Richard	Roberts	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Temple Smith	Temple	Smith	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1997	Terry Speed	Terry	Speed	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Ruben Abagyan	Ruben	Abagyan	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Charles Cantor	Charles	Cantor	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	David Cox	David	Cox	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Ron Davis	Ron	Davis	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Klaus Gubernator	Klaus	Gubernator	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Joshua Lederberg	Joshua	Lederberg	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	Michael Levitt	Michael	Levitt	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	David Schwartz	David	Schwartz	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1998	John Yates	John	Yates	RECOMB	https://doi.org/10.1007/978-3-319-31957-5		
1999	Peer Bork	Peer	Bork	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	EMBL Heidelberg	Germany
1999	Cyrus Chothia	Cyrus	Chothia	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	University of Cambridge	United Kingdom
1999	Eugene W Myers	Eugene	Myers	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	Celera Genomics	United States
1999	John Moult	John	Moult	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	University of Maryland	United States
1999	Pitor Slonimsky	Pitor	Slonimsky	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	CNRS	France
1999	Ed Southern	Ed	Southern	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	University of Oxford	United Kingdom
1999	Peter Willett	Peter	Willett	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	University of Sheffield	United Kingdom
1999	John Wooley	John	Wooley	RECOMB	https://doi.org/10.1007/978-3-319-31957-5	Department of Energy	United States
2000	Eric Davidson	Eric	Davidson	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Caltech	United States
2000	Walter Gilbert	Walter	Gilbert	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Harvard University	United States
2000	Takashi Gojobori	Takashi	Gojobori	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	National Institute of Genetics	Japan
2000	Leroy Hood	Leroy	Hood	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	University of Washington	United States
2000	Minoru Kanehisa	Minoru	Kanehisa	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Kyoto University	Japan
2000	Hans Lehrach	Hans	Lehrach	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Max Planck Institute	Germany
2000	Yvonne Martin	Yvonne	Martin	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Abbots Laboratories	United States
2000	Yusuke Nakamura	Yusuke	Nakamura	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	University of Tokyo	Japan
2000	Svante Paabo	Svante	Paabo	RECOMB	http://recomb2000.hgc.jp/invitedspeaker.htm	Max Planck Institute for Evolutionary Anthropology	Germany
2001	George Church	George	Church	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Harvard Medical School	United States
2001	Phillip Sharp	Phillip	Sharp	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	MIT	United States
2001	Mark Adams	Mark	Adams	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Celera	United States
2001	Roger Brent	Roger	Brent	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Molecular Sciences Institute	United States
2001	Franz Lang	Franz	Lang	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Universite de Montreal	Canada
2001	Klaus Lindpaintner	Klaus	Lindpaintner	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Roche Genetics	Switzerland
2001	Yvonne Martin	Yvonne	Martin	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Abbots Laboratories	United States
2001	Mark Ptashne	Mark	Ptashne	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/speakers.html	Memorial Sloan Kettering Cancer Center	United States
2001	Matthias Wilm	Matthias	Wilm	RECOMB	https://bioinf.mpi-inf.mpg.de/conferences/recomb2001/WWW/schedule.html	European Molecular Biology Laboratory	Germany
2002	Ruben Abagyan	Ruben	Abagyan	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	The Scripps Research Institute	United States
2002	Ali H. Brivanlou	Ali	Brivanlou	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	Rockefeller University	United States
2002	Evan Eichler	Evan	Eichler	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	Case Western Reserve University	United States
2002	"Harold ""Skip"" Garner"	Harold	Garner	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	University of Texas Southwestern Medical Center at Dallas	United States
2002	David Ho	David	Ho	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	Rockefeller University	United States
2002	Gerry Rubin	Gerry	Rubin	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	Howard Hughes Medical Institute	United States
2002	J. Craig Venter	Craig 	Venter	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	Celera	United States
2002	Marc Vidal	Marc 	Vidal	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/565196	Dana-Farber Cancer Institute	United States
2003	Edward Trifonov	Edward	Trifonov	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/640075	University of Haifa	Israel
2003	Christiane Nüsslein-Volhard	Christiane	Nüsslein-Volhard	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/640075	Max-Planck-Institut für Entwicklungsbiologie	Germany
2003	Árpád Furka	Árpád	Furka	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/640075	Eötvös Loránd University	Hungary
2003	Andrew Clark	Andrew	Clark	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/640075	Cornell University	United States
2003	David Haussler	David 	Haussler	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/640075	University of California, Santa Cruz	United States
2003	Arthur Lesk	Arthur 	Lesk	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/640075	University of Cambridge	United Kingdom
2003	Dieter Oesterhelt	Dieter	Oesterhelt	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/640075	Max Planck Institute for Biochemistry	Germany
2003	Terry Speed	Terry	Speed	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/640075	University of California at Berkeley	United States
2003	Kari Stefansson	Kari	Stefansson	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/640075	deCode Genetics	Iceland
2004	Carlos Bustamante	Carlos 	Bustamante	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/974614	UC Berkeley	United States
2004	Russell Doolittle	Russell 	Doolittle	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/974614	UC San Diego	United States
2004	Christine Orengo	Christine	Orengo	RECOMB	https://dl.acm.org/doi/proceedings/10.1145/974614	University College, London	United Kingdom
2004	Deborah Nickerson	Deborah	Nickerson	RECOMB		University of Washington	United States
2004	Richard Karp	Richard	Karplus	RECOMB		UC Berkeley	United States
2004	Elizabeth Winzeler	Elizabeth	Winzeler	RECOMB		Scripps Research Institute	United States
2004	William McGinnis	William	McGinnis	RECOMB		UC San Diego	United States
2004	Martin Nowak	Martin	Nowak	RECOMB		Harvard University	United States
2004	Andrew Fire	Andrew	Fire	RECOMB		Stanford University	United States
2005	David Altshuler	David	Altshuler	RECOMB	https://doi.org/10.1007/b135594	Broad Institute of MIT and Harvard, Massachusetts General Hospital	United States
2005	Wolfgang Baumeister	Wolfgang 	Baumeister	RECOMB	https://doi.org/10.1007/b135594	Max Planck Institute for Biochemistry	Germany
2005	James Collins	James	Collins	RECOMB	https://doi.org/10.1007/b135594	Boston University	United States
2005	Charles DeLisi	Charles 	DeLisi	RECOMB	https://doi.org/10.1007/b135594	Boston University	United States
2005	Jonathan King	Jonathan	King	RECOMB	https://doi.org/10.1007/b135594	MIT	United States
2005	Eric Lander	Eric	Lander	RECOMB	https://doi.org/10.1007/b135594	Broad Institute of Harvard and MIT	United States
2005	Michael Levine	Michael	Levine	RECOMB	https://doi.org/10.1007/b135594	University of California, Berkeley	United States
2005	Susan Lindquist	Susan	Lindquist	RECOMB	https://doi.org/10.1007/b135594	Whitehead Institute	United States
2006	Anne-Claude Gavin	Anne-Claude	Gavin	RECOMB	https://doi.org/10.1007/11732990	EMBL	Germany
2006	David Haussler	David	Haussler	RECOMB	https://doi.org/10.1007/11732990	University of California, Santa Cruz	United States
2006	Ajay K. Royyuru	Ajay	Royyuru	RECOMB	https://doi.org/10.1007/11732990	IBM T.J. Watson Research Center	United States
2006	David Sankoff	David	Sankoff	RECOMB	https://doi.org/10.1007/11732990	University of Ottawa	Canada
2006	Michael Waterman	Michael	Waterman	RECOMB	https://doi.org/10.1007/11732990	University of Southern California	United States
2006	Carl Zimmer	Carl	Zimmer	RECOMB	https://doi.org/10.1007/11732990	Science Writer	United States
2006	Roman A. Zubarev	Roman	Zubarev	RECOMB	https://doi.org/10.1007/11732990	Uppsala University	Sweden
2007	Elizabeth Blackburn	Elizabeth	Blackburn	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-71681-5.pdf	University of California, San Francisco	United States
2007	Patrick Brown	Patrick	Brown	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-71681-5.pdf	Stanford University	United States
2007	Abby Dernburg	Abby	Dernburg	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-71681-5.pdf	University of California, Berkeley	United States
2007	Jennifer Marshall Graves	Jennifer	Graves	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-71681-5.pdf	Australian National University	Australia
2007	Yishi Jin	Yishi	Jin	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-71681-5.pdf	University of California, San Diego	United States
2007	Jay Keasling	Jay	Keasling	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-71681-5.pdf	University of California, Berkeley	United States
2007	Harry Noller	Harry	Noller	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-71681-5.pdf	University of California, Santa Cruz	United States
2007	Aviv Regev	Aviv	Regev	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-71681-5.pdf	Broad Institute of Harvard and MIT	United States
2008	Edison Liu	Edison	Liu	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-78839-3.pdf	Genome Institute of Singapore	Singapore
2008	Sang Yup Lee	Sang	Lee	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-78839-3.pdf	Korea Advanced Institute of Science and Technology	Korea
2008	Andrei Lupas	Andrei	Lupas	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-78839-3.pdf	Max Planck Institute for Developmental Biology	Germany
2008	Howard Cedar	Howard	Cedar	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-78839-3.pdf	Hebrew University	Israel
2008	Vivian Cheung	Vivian	Cheung	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-78839-3.pdf	University of Pennsylvania	United States
2008	Temple Smith	Temple	Smith	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-78839-3.pdf	Boston University	United States
2008	Suzanne Cory	Suzanne	Cory	RECOMB	https://link.springer.com/content/pdf/10.1007%2F978-3-540-78839-3.pdf	Walter and Eliza Hall Institute of Medical Research	Australia
2009	Carlos Bustamante	Carlos	Bustamante	RECOMB	http://doi.org/10.1007/978-3-642-02008-7	Cornell University	United States
2009	Rade Drmanac	Rade	Drmanac	RECOMB	http://doi.org/10.1007/978-3-642-02008-7	Complete Genomics	United States
2009	Mark Gerstein	Mark 	Gerstein	RECOMB	http://doi.org/10.1007/978-3-642-02008-7	Yale University	United States
2009	Eran Halperin	Eran	Halperin	RECOMB	http://doi.org/10.1007/978-3-642-02008-7	Navigenics	United States
2009	Michael Hammer	Michael	Hammer	RECOMB	http://doi.org/10.1007/978-3-642-02008-7	University of Arizona	United States
2009	Joanna Mountain	Joanna	Mountain	RECOMB	http://doi.org/10.1007/978-3-642-02008-7	23andMe	United States
2009	Stephen Quake	Stephen	Quake	RECOMB	http://doi.org/10.1007/978-3-642-02008-7	Stanford University	United States
2009	Mostafa Ronaghi	Mostafa	Ronaghi	RECOMB	http://doi.org/10.1007/978-3-642-02008-7	Illumina	United States
2009	Pardis Sabeti	Pardis	Sabeti	RECOMB	http://doi.org/10.1007/978-3-642-02008-7	Harvard University	United States
2009	Michael Snyder	Michael	Snyder	RECOMB	http://doi.org/10.1007/978-3-642-02008-7	Yale University	United States
2010	Cecilia Arraiano	Cecilia	Arraiano	RECOMB		ITQB NOVA	Portugal
2010	David Bartel	David	Bartel	RECOMB		MIT, Whitehead Institute and Howard Hughes Medical Institute	United States
2010	Isaac Kohane	Isaac	Kohane	RECOMB		Harvard Medical School	United States
2010	Phil Kapranov	Phil	Kapranov	RECOMB		Helicos BioSciences Corporation	United States
2010	Norbert Perrimon	Norbert	Perrimon	RECOMB		Harvard Medical School and Howard Hughes Medical Institute	United States
2010	Mona Singh	Mona	Singh	RECOMB		Princeton University	United States
2011	Evan Eichler	Evan	Eichler	RECOMB		University of Washington	United States
2011	Daphne Koller	Daphne	Koller	RECOMB		Stanford University	United States
2011	Marco Marra	Marco	Marra	RECOMB		BC Genome Sciences Centre	Canada
2011	Joe Nadeau	Joe	Nadeau	RECOMB		Institute for Systems Biology	United States
2011	Karen Nelson	Karen	Nelson	RECOMB		J. Craig Venter Institute	United States
2011	Jun Wang	Jun	Wang	RECOMB	https://doi.org/10.1007/978-3-642-20036-6	Beijing Genomics Institute	China
2011	Elaine Mardis	Elaine	Mardis	RECOMB		Washington University	United States
2012	Richard Durbin	Richard	Durbin	RECOMB		The Wellcome Trust Sanger Institute	United Kingdom
2012	Eileen Furlong	Eileen	Furlong	RECOMB		Genome Biology Unit, EMBL	Germany
2012	Thomas Gingeras	Thomas	Gingeras	RECOMB		Cold Spring Harbor Laboratory	United States
2012	Alfonso Valencia	Alfonso	Valencia	RECOMB		National Cancer Research Centre	Spain
2012	Ada Yonath	Ada	Yonath	RECOMB		Department of Structural Biology, Weizmann Institute of Science	Israel
2013	Deborah Nickerson	Deborah	Nickerson	RECOMB		University of Washington	United States
2013	Chung-I Wu	Chung-I	Wu	RECOMB		Beijing Institute of Genomics, Chinese Academy of Sciences	China
2013	Takashi Gojobori	Takashi	Gojobori	RECOMB		National Institute of Genetics	Japan
2013	Scott Fraser	Scott	Fraser	RECOMB		University of Southern California	United States
2013	Nadia Rosenthal	Nadia	Rosenthal	RECOMB		Monash University in Melbourne	Australia
2013	Xiaoliang Sunney Xie	Xiaoliang	Xie	RECOMB		Harvard University	United States
2014	Ian Baldwin	Ian	Baldwin	RECOMB		Max Planck Institute for Chemical Ecology	Germany
2014	Atul Butte	Atul	Butte	RECOMB		Stanford University	United States
2014	James Collins	James	Collins	RECOMB		Harvard University	United States
2014	Trey Ideker	Trey	Ideker	RECOMB		University of California, San Diego	United States
2014	Tom Mitchell	Tom	Mitchell	RECOMB		Carnegie Mellon University	United States
2014	Sarah Tishkoff	Sarah	Tishkoff	RECOMB		University of Pennsylvania	United States
2015	M. Madan Babu	Madan	Babu	RECOMB		MRC Laboratory of Molecular Biology	United Kingdom
2015	Bonnie Berger	Bonnie	Berger	RECOMB		Broad Institute of Harvard and MIT	United States
2015	Magda Konarska	Magda	Konarska	RECOMB		Rockefeller University and University of Warsaw	United States
2015	Michael Levitt	Michael	Levitt	RECOMB		Stanford University	United States
2015	Bas van Steensel	Bas	van Steensel	RECOMB		Netherlands Cancer Institute	Netherlands
2015	Waclaw Szybalski	Waclaw	Szybalski	RECOMB		University of Wisconsin-Madison	United States
2016	Peter Kim	Peter	Kim	RECOMB		Stanford University	United States
2016	Rob Knight	Rob	Knight	RECOMB		University of California, San Diego	United States
2016	Leonid Kruglyak	Leonid	Kruglyak	RECOMB		University of California, Los Angeles	United States
2016	Phil Bradley	Phil	Bradley	RECOMB		Fred Hutchinson Cancer Research Center	United States
2016	Teresa Przytycka	Teresa	Prztycka	RECOMB		National Center for Biotechnology Information at the National Institutes of Health	United States
2016	Karen Adelman	Karen	Adelman	RECOMB		National Institute of Environmental Health Sciences at the National Institutes of Health	United States
2017	Colin Collins	Colin	Collins	RECOMB		Vancouver Prostate Centre	Canada
2017	Joe Gray	Joe	Gray	RECOMB		Oregon Health Sciences University	United States
2017	Laxmi Parida	Laxmi	Parida	RECOMB		IBM T.J. Watson Research Center	United States
2017	Ben Raphael	Ben	Raphael	RECOMB		Princeton University	United States
2017	Michael Schnall-Levin	Michael	Schnall-Levin	RECOMB		10X Genomics	United States
2017	Jun Wang	Jun	Wang	RECOMB		iCarbonX	China
2018	Peter Campbell	Peter	Campbell	RECOMB		Sanger Institute	United Kingdom
2018	Nevan Krogan	Nevan	Krogan	RECOMB		University of California, San Francisco	United States
2018	Ron Shamir	Ron	Shamir	RECOMB		Tel Aviv University	Israel
2018	Francois Spitz	Francois	Spitz	RECOMB		Institut Pasteur	France
2018	Sarah Teichmann	Sarah	Teichmann	RECOMB		Sanger Institute	United Kingdom
2018	Tandy Warnow	Tandy	Warnow	RECOMB		University of Illinois, Urbana Champaign	United States
2019	Carlos Bustamante	Carlos	Bustamante	RECOMB		Stanford University	United States
2019	Rachel Kolodny	Rachel	Kolodny	RECOMB		University of Haifa	Israel
2019	Mihai Pop	Mihai	Pop	RECOMB		University of Maryland	United States
2019	Franziska Michor	Franziska	Michor	RECOMB		Harvard University and Dana Farber Cancer Institute	United States
2019	Eytan Ruppin	Eytan	Ruppin	RECOMB		US National Cancer Institute	United States
2019	Alfonso Valencia	Alfonso	Valencia	RECOMB		Spanish National Bioinformatics Institute and Barcelona Supercomputing Center	Spain
